continent,location,date,population,new_vaccinations,RollingPeopleVaccinated
Asia,Afghanistan,8/1/2020,38928341,,
Asia,Afghanistan,8/10/2020,38928341,,
Asia,Afghanistan,8/11/2020,38928341,,
Asia,Afghanistan,8/12/2020,38928341,,
Asia,Afghanistan,8/13/2020,38928341,,
Asia,Afghanistan,8/14/2020,38928341,,
Asia,Afghanistan,8/15/2020,38928341,,
Asia,Afghanistan,8/16/2020,38928341,,
Asia,Afghanistan,8/17/2020,38928341,,
Asia,Afghanistan,8/18/2020,38928341,,
Asia,Afghanistan,8/19/2020,38928341,,
Asia,Afghanistan,8/2/2020,38928341,,
Asia,Afghanistan,8/20/2020,38928341,,
Asia,Afghanistan,8/21/2020,38928341,,
Asia,Afghanistan,8/22/2020,38928341,,
Asia,Afghanistan,8/23/2020,38928341,,
Asia,Afghanistan,8/24/2020,38928341,,
Asia,Afghanistan,8/25/2020,38928341,,
Asia,Afghanistan,8/26/2020,38928341,,
Asia,Afghanistan,8/27/2020,38928341,,
Asia,Afghanistan,8/28/2020,38928341,,
Asia,Afghanistan,8/29/2020,38928341,,
Asia,Afghanistan,8/3/2020,38928341,,
Asia,Afghanistan,8/30/2020,38928341,,
Asia,Afghanistan,8/31/2020,38928341,,
Asia,Afghanistan,8/4/2020,38928341,,
Asia,Afghanistan,8/5/2020,38928341,,
Asia,Afghanistan,8/6/2020,38928341,,
Asia,Afghanistan,8/7/2020,38928341,,
Asia,Afghanistan,8/8/2020,38928341,,
Asia,Afghanistan,8/9/2020,38928341,,
Asia,Afghanistan,9/1/2020,38928341,,
Asia,Afghanistan,9/10/2020,38928341,,
Asia,Afghanistan,9/11/2020,38928341,,
Asia,Afghanistan,9/12/2020,38928341,,
Asia,Afghanistan,9/13/2020,38928341,,
Asia,Afghanistan,9/14/2020,38928341,,
Asia,Afghanistan,9/15/2020,38928341,,
Asia,Afghanistan,9/16/2020,38928341,,
Asia,Afghanistan,9/17/2020,38928341,,
Asia,Afghanistan,9/18/2020,38928341,,
Asia,Afghanistan,9/19/2020,38928341,,
Asia,Afghanistan,9/2/2020,38928341,,
Asia,Afghanistan,9/20/2020,38928341,,
Asia,Afghanistan,9/21/2020,38928341,,
Asia,Afghanistan,9/22/2020,38928341,,
Asia,Afghanistan,9/23/2020,38928341,,
Asia,Afghanistan,9/24/2020,38928341,,
Asia,Afghanistan,9/25/2020,38928341,,
Asia,Afghanistan,9/26/2020,38928341,,
Asia,Afghanistan,9/27/2020,38928341,,
Asia,Afghanistan,9/28/2020,38928341,,
Asia,Afghanistan,9/29/2020,38928341,,
Asia,Afghanistan,9/3/2020,38928341,,
Asia,Afghanistan,9/30/2020,38928341,,
Asia,Afghanistan,9/4/2020,38928341,,
Asia,Afghanistan,9/5/2020,38928341,,
Asia,Afghanistan,9/6/2020,38928341,,
Asia,Afghanistan,9/7/2020,38928341,,
Asia,Afghanistan,9/8/2020,38928341,,
Asia,Afghanistan,9/9/2020,38928341,,
Europe,Albania,1/1/2021,2877800,,
Europe,Albania,1/10/2021,2877800,,
Europe,Albania,1/11/2021,2877800,,
Europe,Albania,1/12/2021,2877800,,
Europe,Albania,1/13/2021,2877800,60,60
Europe,Albania,1/14/2021,2877800,78,138
Europe,Albania,1/15/2021,2877800,42,180
Europe,Albania,1/16/2021,2877800,61,241
Europe,Albania,1/17/2021,2877800,36,277
Europe,Albania,1/18/2021,2877800,42,319
Europe,Albania,1/19/2021,2877800,36,355
Europe,Albania,1/2/2021,2877800,,355
Europe,Albania,1/20/2021,2877800,36,391
Europe,Albania,1/21/2021,2877800,30,421
Europe,Albania,1/22/2021,2877800,,421
Europe,Albania,1/23/2021,2877800,,421
Europe,Albania,1/24/2021,2877800,,421
Europe,Albania,1/25/2021,2877800,,421
Europe,Albania,1/26/2021,2877800,,421
Europe,Albania,1/27/2021,2877800,,421
Europe,Albania,1/28/2021,2877800,,421
Europe,Albania,1/29/2021,2877800,,421
Europe,Albania,1/3/2021,2877800,,421
Europe,Albania,1/30/2021,2877800,,421
Europe,Albania,1/31/2021,2877800,,421
Europe,Albania,1/4/2021,2877800,,421
Europe,Albania,1/5/2021,2877800,,421
Europe,Albania,1/6/2021,2877800,,421
Europe,Albania,1/7/2021,2877800,,421
Europe,Albania,1/8/2021,2877800,,421
Europe,Albania,1/9/2021,2877800,,421
Europe,Albania,10/1/2020,2877800,,421
Europe,Albania,10/10/2020,2877800,,421
Europe,Albania,10/11/2020,2877800,,421
Europe,Albania,10/12/2020,2877800,,421
Europe,Albania,10/13/2020,2877800,,421
Europe,Albania,10/14/2020,2877800,,421
Europe,Albania,10/15/2020,2877800,,421
Europe,Albania,10/16/2020,2877800,,421
Europe,Albania,10/17/2020,2877800,,421
Europe,Albania,10/18/2020,2877800,,421
Europe,Albania,10/19/2020,2877800,,421
Europe,Albania,10/2/2020,2877800,,421
Europe,Albania,10/20/2020,2877800,,421
Europe,Albania,10/21/2020,2877800,,421
Europe,Albania,10/22/2020,2877800,,421
Europe,Albania,10/23/2020,2877800,,421
Europe,Albania,10/24/2020,2877800,,421
Europe,Albania,10/25/2020,2877800,,421
Europe,Albania,10/26/2020,2877800,,421
Europe,Albania,10/27/2020,2877800,,421
Europe,Albania,10/28/2020,2877800,,421
Europe,Albania,10/29/2020,2877800,,421
Europe,Albania,10/3/2020,2877800,,421
Europe,Albania,10/30/2020,2877800,,421
Europe,Albania,10/31/2020,2877800,,421
Europe,Albania,10/4/2020,2877800,,421
Europe,Albania,10/5/2020,2877800,,421
Europe,Albania,10/6/2020,2877800,,421
Europe,Albania,10/7/2020,2877800,,421
Europe,Albania,10/8/2020,2877800,,421
Europe,Albania,10/9/2020,2877800,,421
Europe,Albania,11/1/2020,2877800,,421
Europe,Albania,11/10/2020,2877800,,421
Europe,Albania,11/11/2020,2877800,,421
Europe,Albania,11/12/2020,2877800,,421
Europe,Albania,11/13/2020,2877800,,421
Europe,Albania,11/14/2020,2877800,,421
Europe,Albania,11/15/2020,2877800,,421
Europe,Albania,11/16/2020,2877800,,421
Europe,Albania,11/17/2020,2877800,,421
Europe,Albania,11/18/2020,2877800,,421
Europe,Albania,11/19/2020,2877800,,421
Europe,Albania,11/2/2020,2877800,,421
Europe,Albania,11/20/2020,2877800,,421
Europe,Albania,11/21/2020,2877800,,421
Europe,Albania,11/22/2020,2877800,,421
Europe,Albania,11/23/2020,2877800,,421
Europe,Albania,11/24/2020,2877800,,421
Europe,Albania,11/25/2020,2877800,,421
Europe,Albania,11/26/2020,2877800,,421
Europe,Albania,11/27/2020,2877800,,421
Europe,Albania,11/28/2020,2877800,,421
Europe,Albania,11/29/2020,2877800,,421
Europe,Albania,11/3/2020,2877800,,421
Europe,Albania,11/30/2020,2877800,,421
Europe,Albania,11/4/2020,2877800,,421
Europe,Albania,11/5/2020,2877800,,421
Europe,Albania,11/6/2020,2877800,,421
Europe,Albania,11/7/2020,2877800,,421
Europe,Albania,11/8/2020,2877800,,421
Europe,Albania,11/9/2020,2877800,,421
Europe,Albania,12/1/2020,2877800,,421
Europe,Albania,12/10/2020,2877800,,421
Europe,Albania,12/11/2020,2877800,,421
Europe,Albania,12/12/2020,2877800,,421
Europe,Albania,12/13/2020,2877800,,421
Europe,Albania,12/14/2020,2877800,,421
Europe,Albania,12/15/2020,2877800,,421
Europe,Albania,12/16/2020,2877800,,421
Europe,Albania,12/17/2020,2877800,,421
Europe,Albania,12/18/2020,2877800,,421
Europe,Albania,12/19/2020,2877800,,421
Europe,Albania,12/2/2020,2877800,,421
Europe,Albania,12/20/2020,2877800,,421
Europe,Albania,12/21/2020,2877800,,421
Europe,Albania,12/22/2020,2877800,,421
Europe,Albania,12/23/2020,2877800,,421
